Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[155.88493 155.73091 157.1284 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[192.41977 192.3936  193.81529]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[195.78908 194.98933 195.57092]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[191.85486 192.19145 193.49132]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[155.41557 155.55737 156.8558 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[191.85486 192.19145 193.49132]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[189.45204 190.37997 191.48743]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[195.21161 194.99232 195.38895]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[193.229   193.03304 193.44826]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[197.76685 197.61496 197.89426]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[192.37372 192.50482 192.9451 ]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[196.91963 197.1005  197.40706]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[234.45732 234.58789 235.13527]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[240.34254 240.41078 241.72174]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[199.64511 200.96732 201.18837]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[239.2062  239.41121 240.45944]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[199.64511 200.96732 201.18837]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[215.9804  216.4158  217.17351]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[168.82446 169.82336 170.69417]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[155.51712 156.6365  157.43158]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[140.12473 140.22595 140.43509]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[155.51712 156.6365  157.43158]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[153.75224 154.85672 155.59254]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[152.4978  153.5894  154.31374]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[165.06424 166.1454  167.0106 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[152.4978  153.5894  154.31374]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[164.51566 165.7651  166.50137]], Reward:1
