Episode: 28, Policy: Exploration, Action Index: 2, q values: [[67.99516 67.33247 67.26876]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[62.063892 62.075222 61.92086 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[67.99516 67.33247 67.26876]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[65.661224 65.14861  65.08511 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[94.722275 92.87058  92.15826 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[92.30732 90.53223 89.87141]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[89.869644 88.18513  87.53263 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[86.07139 84.64351 83.99817]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[83.81562 82.47211 81.86191]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[85.84184 84.99142 84.71932]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[84.1246  83.34612 83.10905]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[82.95893 82.34627 82.09075]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[79.94366  79.49969  79.276695]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[76.42019 75.47926 75.00319]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[79.94366  79.49969  79.276695]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[75.92016 75.03983 74.58604]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[58.318584 58.207905 58.181526]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[56.832832 56.79381  56.775604]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[55.591415 55.624817 55.599434]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[72.87121  72.31528  71.993324]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[77.331375 77.20632  77.14318 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[75.3481  75.32975 75.28279]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[74.11059  74.172806 74.10021 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[93.32487  92.92518  92.929825]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[91.4824   91.19791  91.212975]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[89.53488  89.35295  89.356285]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[74.971176 75.22192  75.27072 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[72.355316 72.16948  72.20935 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[69.64537 69.56881 69.6401 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[66.7619   66.78603  66.856735]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[60.399815 60.731297 60.915245]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[65.6445   66.220604 66.33026 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[69.783   70.45148 70.56959]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[118.05142  117.478035 117.065315]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[115.904045 115.37356  114.994675]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[116.78116 116.65666 116.48296]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[69.65715 70.56261 70.80688]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[116.78116 116.65666 116.48296]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[129.0521  128.15927 128.18509]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[116.11853 116.47984 116.01779]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[69.19032  70.392914 70.462585]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[68.38872 69.58332 69.66219]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[112.59962  113.036865 112.61302 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[66.46381  67.907974 67.81601 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[64.900635 66.26078  66.178734]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[64.462524 65.80217  65.7242  ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[59.77975  61.00726  60.994324]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[66.38654 67.20878 66.86078]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[63.32734 64.20752 63.88821]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[71.08914 72.52407 72.32519]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[92.601585 93.9271   93.63635 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[120.80258 120.83306 119.78683]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[117.158455 117.18411  116.17929 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[138.80528 139.00734 137.87427]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[148.69882 149.0279  147.93073]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[132.5578  132.3106  131.25928]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[131.09972 130.8348  129.79054]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[125.88601 125.66942 124.71187]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[124.89985 124.65934 123.7058 ]], Reward:-3
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[116.80109  116.33308  115.497765]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[116.169685 115.67987  114.8406  ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[124.58893  124.071846 123.42244 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[122.12641 121.64607 121.03994]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[117.70479 116.66731 116.0936 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[114.94205 113.94813 113.42632]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[112.04804  111.131294 110.688484]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[108.80514 107.99041 107.5845 ]], Reward:-3
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[105.39195 104.16973 103.94894]], Reward:-3
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[101.87577 100.79845 100.66299]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[98.723724 97.7585   97.665   ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[101.129715  99.96024   99.32362 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[100.060455  98.83242   98.66022 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[102.50252  101.061104 100.340416]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[99.55126 98.238   97.57854]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[96.027855 94.87814  94.90224 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[101.49022 100.14991  99.19938]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[100.96111   99.626305  98.676346]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[96.981735 95.855774 95.007385]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[95.21334  94.16786  93.353584]], Reward:-3
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[95.7108   94.74357  93.535774]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[91.83264  91.063354 89.94467 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[104.09977 102.63164 101.08312]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[101.942024 100.52299   98.98844 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[85.30814  84.51851  83.296265]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[82.78716 82.09223 80.92715]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[80.44499  79.86577  78.751175]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[74.578964 74.911194 73.73087 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[80.24046 79.65418 78.31971]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[99.00037  97.815956 95.6169  ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[96.47155 95.32215 93.20446]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[93.9058   92.81675  90.782425]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[82.3904  82.26234 80.63162]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[92.74202 91.88007 89.70387]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[90.21356  89.425064 87.31583 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[75.437805 75.222786 73.866745]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[71.501205 71.59963  70.21196 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[86.895134 86.46081  84.30028 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[84.43959  84.049774 81.956924]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[82.09777 81.78694 79.76637]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[77.79677  77.79841  75.891914]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[70.1848  70.79099 69.33025]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[80.13116  80.08643  78.415474]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[77.906235 77.94234  76.329834]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[104.59515 104.98466 102.21981]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[94.709175 94.71745  92.62119 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[125.31558  124.83979  121.981636]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[113.68478 113.20094 110.3214 ]], Reward:-3
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[92.13777 92.02045 90.0865 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[91.41518 91.27481 89.33832]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[108.282295 108.12301  105.644806]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[106.07117  105.91012  103.474915]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[120.30987  120.182335 118.008545]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[102.13512 102.10586 100.26804]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[102.44853 102.39922 100.54293]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[100.46028 100.43612  98.61786]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[101.02285 101.10603  99.45256]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[114.35025 114.30609 112.51929]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[105.24075 105.17148 103.20013]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[87.96087  88.045006 86.58149 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[96.49532 96.60336 94.93649]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[67.74569 68.55975 67.87051]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[96.49532 96.60336 94.93649]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[89.08425 89.16888 87.88566]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[90.188446 90.17453  88.97577 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[98.37844 98.33027 96.82491]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[96.48157  96.449356 94.972404]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[94.15971 94.14209 92.73754]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[94.55933 94.32758 92.99074]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[85.65154  85.609695 84.575966]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[81.77836  81.88583  80.934044]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[98.383705 98.16858  96.75739 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[98.00345 97.62539 96.34256]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[95.225174 94.89297  93.66852 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[122.446945 121.88613  120.52064 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[95.225174 94.89297  93.66852 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[93.96159  93.43712  92.569565]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[91.18534  90.71759  89.925835]], Reward:1
