Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[171.44249 175.1241  175.46046]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[191.94858 195.19656 195.05588]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[171.44249 175.1241  175.46046]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[187.00082 189.41347 189.30879]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[203.52846 206.19626 205.59288]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[207.46974 210.51517 210.04791]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[230.6775  233.64418 233.59291]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[241.64291 243.77051 242.30501]], Reward:-3
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[193.1306  195.78883 195.79106]], Reward:-3
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[240.98894 242.94305 242.00224]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[220.0241  221.97809 220.94583]], Reward:-3
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[223.52376 225.31233 223.72946]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[222.95537 223.97917 222.3537 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[223.52376 225.31233 223.72946]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[234.53879 235.63953 234.41544]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[205.11847 204.81628 203.23167]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[201.05339 200.75075 199.22899]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[196.47726 196.2227  194.77899]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[191.93689 191.7184  190.35097]], Reward:-3
