Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[133.66232 136.80072 135.61964]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[101.297935 103.684456 103.27881 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[125.72096 128.40913 127.9796 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[153.8288  157.05115 155.86383]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[180.16217 184.21992 183.25948]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[153.8288  157.05115 155.86383]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[127.694885 130.62851  130.34886 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[155.77525 159.27196 157.9344 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[182.6706  187.06479 185.93082]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[191.20972 195.39894 194.20206]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[186.91048 191.75854 189.85927]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[177.9589  181.80228 180.43153]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[187.96532 192.65756 190.59937]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[156.0586  160.02654 159.07109]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[141.98267 145.61403 144.89595]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[141.80339 145.17636 144.24614]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[157.51126 160.75543 159.84085]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[147.0537  150.50778 149.04707]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[101.96045  104.03152  103.588776]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[134.70648 137.4992  136.6454 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[161.60846 164.66425 162.75613]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[188.96257 192.81635 191.05865]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[188.56497 192.38708 190.62611]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[188.85907 192.48395 190.81883]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[184.56192 188.13573 186.60129]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[158.20213 160.9761  159.25438]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[133.48456 136.11586 135.31586]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[158.30556 160.9918  159.07532]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[133.6553  136.21613 135.24774]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[158.30556 160.9918  159.07532]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[133.6553  136.21613 135.24774]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[120.01241  122.49791  121.651535]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[133.17311 135.58783 134.62514]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[157.78835 160.30252 158.39384]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[155.53429 157.99174 156.1328 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[182.96011 185.89447 184.19289]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[188.84776 191.38213 189.67473]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[200.99052 204.30579 201.69958]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[174.80072 177.5207  176.02335]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[200.3061  203.21777 200.93704]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[174.2007  176.57068 175.35387]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[196.23242 199.22206 197.12193]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[163.5447  166.16124 164.88431]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[148.61586 150.52267 149.84898]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[170.26958 172.2415  171.27248]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[168.36578 170.33145 169.38768]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[121.844666 123.061935 122.14191 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[116.57048 117.96175 117.68341]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[128.83511 130.07616 129.74153]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[153.39275 154.49008 153.28722]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[180.43768 182.01738 181.06873]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[187.87766 188.41548 187.95079]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[197.27351 198.50296 197.22426]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[174.191   175.00836 174.53947]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[197.27351 198.50296 197.22426]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[172.81694 172.77629 172.92863]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[190.7968  191.13197 190.6092 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[189.602   189.93625 189.42096]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[157.10593 157.51772 157.70949]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[154.25749 154.13475 154.76176]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[186.80522 186.50388 186.45982]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[174.18639 173.42815 173.89928]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[171.7657 171.0156 171.5245]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[171.57617 170.32138 170.91873]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[167.42834 166.22935 166.89029]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[167.09747 165.88673 166.50949]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[164.418   163.23033 163.94821]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[182.64389 181.37965 182.07076]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[142.52658 141.55878 142.62794]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[182.64389 181.37965 182.07076]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[142.52658 141.55878 142.62794]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[182.0941  181.25273 182.10413]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[163.56589 162.53049 163.60242]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[165.00294 164.5523  165.11514]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[191.02321 189.64539 191.01434]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[189.21597 188.23767 189.57079]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[175.5874  175.01598 175.93861]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[174.77278 174.19687 175.07445]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[160.84384 160.01645 160.69792]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[141.65549 141.55293 142.35199]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[126.81497  127.032425 127.86033 ]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[154.85338 155.0946  155.3112 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[156.45361 156.31723 157.47827]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[154.53905 154.93762 155.92514]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[152.38103 153.47797 154.08679]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[145.00403 145.6328  146.40262]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[183.03996 183.813   184.17647]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[165.32909 166.80437 167.03444]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[165.55241 167.0358  167.23474]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[168.7518  171.1039  170.50803]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[167.16658 169.52937 168.9421 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[169.30222 171.3626  172.55875]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[175.21016 178.14305 178.48582]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[169.30222 171.3626  172.55875]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[193.04851 195.46825 196.47966]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[165.81787 167.73299 170.12488]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[176.19739 178.809   181.21677]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[174.4857  177.12106 179.51378]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[173.0772  175.72563 178.1034 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[179.20416 180.46025 184.7277 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[176.2793  177.55774 181.78145]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[182.1097  184.2979  188.16356]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[165.87204 167.4538  171.18   ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[230.83115 232.14275 238.21242]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[206.95726 207.87494 213.71347]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[230.83115 232.14275 238.21242]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[206.95726 207.87494 213.71347]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[212.74393 213.47473 221.14346]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[261.17343 261.59592 270.48294]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[246.37253 246.93304 254.96861]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[225.58354 225.8752  232.97374]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[230.91777 231.18636 238.4578 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[253.78699 254.399   262.61255]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[230.91777 231.18636 238.4578 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[201.82312 202.21695 209.17175]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[202.52095 202.75883 209.63515]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[232.50212 232.52766 239.71921]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[229.56805 229.58649 236.68597]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[200.0134  200.26993 207.08522]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[175.19469 175.94821 180.90294]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[220.4638  221.32855 226.73814]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[220.85345 221.23454 227.73102]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[216.6857  217.89734 223.86134]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[208.87552 209.65746 215.14018]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[200.2442  200.46973 205.9121 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[208.87552 209.65746 215.14018]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[200.2442  200.46973 205.9121 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[247.57642 247.70915 253.28477]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[225.92126 225.65729 231.0417 ]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[225.77205 226.2392  231.13692]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[259.1818  258.69693 265.14255]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[235.42128 235.34744 239.75629]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[211.69083 211.11084 214.91672]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[183.04874 182.81691 186.69788]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[156.40521 156.3929  159.81401]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[147.15024 147.49483 149.86716]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[192.16614 192.71832 195.0658 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[190.77364 190.81117 194.11006]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[184.41164 185.25423 188.0931 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[183.79526 184.0789  186.27762]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[181.03082 181.3477  183.50836]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[175.063   176.1266  177.90437]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[173.45953 174.52222 176.29108]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[167.93141 168.68805 169.39108]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[211.46088 212.15436 211.99228]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[167.93141 168.68805 169.39108]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[165.23714 166.04068 166.73915]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[204.55249 205.15706 203.443  ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[161.94572 162.57436 162.09651]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[159.48747 160.19112 159.73973]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[163.61397 164.40895 163.90755]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[159.6019  159.11552 158.2594 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[184.75513 184.78665 182.59789]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[132.7878 132.2061 131.2144]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[128.12007  127.668686 126.67046 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[125.818886 125.07778  123.50185 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[179.8614  179.44284 176.4742 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[164.65851 163.72868 162.04694]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[179.8614  179.44284 176.4742 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[181.55899 181.11087 176.77167]], Reward:1
