Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[93.41441 93.2967  93.37728]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[90.522766 90.49875  90.60305 ]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 2, q values: [[82.155266 82.33017  82.55961 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[90.518974 90.29123  90.28225 ]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[128.15723 127.1258  126.91028]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[126.198616 125.21322  125.032486]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[88.4598   88.214935 87.99049 ]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[85.683975 85.55411  85.34931 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[83.0649   83.042435 82.85937 ]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 2, q values: [[76.99737  77.314514 77.32279 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[83.09893 83.26893 82.85634]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[77.05561 77.55238 77.34627]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[83.09893 83.26893 82.85634]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[120.03449  119.376884 118.44739 ]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[118.40162 118.01285 116.89594]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[116.50708 116.20003 115.11279]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[114.546165 114.30981  113.266106]], Reward:-3
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[113.01457 112.81723 111.81982]], Reward:-3
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[112.264465 112.13694  111.26185 ]], Reward:-3
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[111.00769  110.95732  110.176056]], Reward:-3
Episode: 25, Policy: Exploitation, Action Index: 1, q values: [[109.93061  109.938515 109.22398 ]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 1, q values: [[63.638878 63.892715 63.576954]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[73.70081  74.599556 74.17935 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[72.81744 73.70166 73.2962 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[80.62839  81.506065 81.086105]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[79.09355 79.98399 79.54985]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[123.557755 123.16634  122.19251 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[120.88889 120.54901 119.58645]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 1, q values: [[83.341225 84.21755  83.90109 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[120.88889 120.54901 119.58645]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[125.456406 124.95082  124.056725]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[122.52585  122.07214  121.221985]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[119.38879 118.97973 118.19083]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[139.83282 139.3616  138.55981]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[144.58817 144.08978 143.55794]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[139.60359 139.29778 138.81718]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[138.17395 137.86589 137.39001]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[163.5009  162.8547  162.14565]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[165.78047 165.19034 164.59758]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[162.60518 162.10417 161.54945]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[159.50948 159.07875 158.567  ]], Reward:-3
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[156.53975 156.18285 155.69142]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 2, q values: [[136.32196 136.39734 136.4989 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[123.51116 123.12456 122.86952]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[119.79606 119.50508 119.26663]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[115.96465 115.76233 115.52153]], Reward:1
Episode: 25, Policy: Exploitation, Action Index: 0, q values: [[110.56184 110.26132 110.40271]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[106.81097  106.600464 106.762436]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[118.48366  118.70356  119.277405]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[116.2132   116.501785 117.04965 ]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[100.84087 100.16008 100.56181]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[97.25682 96.65921 97.08441]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 1, q values: [[83.92793 84.01247 84.60207]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 2, q values: [[97.25682 96.65921 97.08441]], Reward:1
Episode: 25, Policy: Exploration, Action Index: 0, q values: [[80.177956 79.94603  80.7136  ]], Reward:-10
