Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[223.93076 225.34311 226.47035]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[229.89401 230.97328 233.10892]], Reward:-3
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[242.05586 244.03236 244.72812]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[238.80861 240.85873 241.59196]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[204.78407 205.96002 205.99857]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[228.47389 229.2529  229.43344]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[238.06367 239.08542 238.58427]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[239.92099 240.50783 239.60051]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[238.06367 239.08542 238.58427]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 1, q values: [[239.92099 240.50783 239.60051]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[221.92511 222.35419 220.46619]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[247.11058 247.02907 245.08344]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[243.59253 243.5131  241.60623]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[240.04216 239.93666 238.11107]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[237.35524 236.78816 234.5722 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[239.1668  239.1138  237.20924]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[237.35524 236.78816 234.5722 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[233.89204 233.34587 231.1904 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[229.20068 228.65585 226.5651 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[225.12816 224.68723 222.68167]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[223.91429 223.46355 221.45403]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[220.52325 220.13799 218.19612]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[206.0585  205.13907 203.58638]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[202.06299 201.22556 199.75424]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[199.10277 198.33617 196.89645]], Reward:-3
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[196.68387 196.01381 194.56958]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[182.89977 181.89037 180.67825]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[179.24417 178.38988 177.2151 ]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[177.17088 176.35406 175.19083]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[174.5445  173.79999 172.66718]], Reward:-3
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[162.56279 161.52199 160.67943]], Reward:-3
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[161.20995 160.17532 159.3331 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[163.88622 162.58638 161.74388]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[233.41884 230.81755 228.3308 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[219.13089 216.10184 214.29683]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[153.71896 152.10582 151.72667]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[151.04152 149.47604 149.12663]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[148.56934 147.04787 146.7305 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[139.90234 138.54933 138.83517]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[137.86053 136.54013 136.824  ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[142.0945  140.88148 141.07248]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[140.96893 139.7559  139.9417 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[128.7041  127.45624 128.40251]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 0, q values: [[136.33617 135.26714 136.21231]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[135.20639 134.13866 135.07663]], Reward:-10
