Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[151.14783 149.61375 149.62834]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[149.83842 148.28824 148.3002 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[137.38268 137.1546  136.69168]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[135.63904 135.50603 135.00919]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[133.59425 133.75298 132.89609]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[116.55343 116.03102 115.72294]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[115.40548  114.911224 114.625885]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[113.28683  112.839264 112.60492 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[110.354774 110.20859  109.600494]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[114.803024 115.59051  114.85994 ]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[139.09409 138.39398 137.49298]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[134.44318 133.84796 133.00217]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 1, q values: [[116.83014 117.57252 116.23546]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[103.93479 103.98954 103.11152]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[103.21447  103.28778  102.451584]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[101.65069 101.76019 100.9546 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[86.3956   86.613556 85.77231 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[100.68309  100.68261   99.599075]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[99.85432 99.87435 98.79184]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 1, q values: [[95.547676 96.77976  95.9932  ]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[99.53581 99.34694 98.03505]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[98.19369 98.07914 96.79893]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[96.63445  96.59351  95.336044]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[80.530914 80.84311  79.87847 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[78.15687 78.28389 77.40121]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[94.24437 93.96149 92.8038 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[91.780205 91.603294 90.48473 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[76.78608  76.98927  76.133644]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[91.75874  91.215576 90.21844 ]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[89.44665 89.03613 88.088  ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[87.31786  87.02167  86.094765]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[75.21737 75.21637 74.46319]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[87.526085 86.970276 86.04326 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[85.37693  84.9502   84.060104]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[83.630035 83.29927  82.42331 ]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[82.01115  81.759155 80.92322 ]], Reward:-3
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[80.989944 80.55506  79.86758 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[79.76855 79.3691  78.69979]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[78.694046 78.32662  77.672554]], Reward:-3
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[77.69592 77.36503 76.722  ]], Reward:-3
Episode: 27, Policy: Exploration, Action Index: 0, q values: [[77.108894 76.67341  76.19721 ]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[76.42635  76.000755 75.53548 ]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 2, q values: [[75.89874  75.47669  75.019356]], Reward:1
Episode: 27, Policy: Exploration, Action Index: 1, q values: [[101.73396  100.19978   99.021904]], Reward:1
Episode: 27, Policy: Exploitation, Action Index: 0, q values: [[75.83993 75.41876 75.0903 ]], Reward:-10
